,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.30516826923077,1.32824519230769,1.36105769230769,1.24435096153846,1.23713942307692,1.28725961538462,1.28305288461538,1.10829326923077,1.22283653846154,0.994110576923077
SUDHL4_n2,1.1488736532811,1.28403525954946,1.2351860920666,1.28036238981391,1.20923114593536,1.26530362389814,1.29542115572968,1.17886875612145,1.17115572967679,1.05790891283056
K562_n1,0.956305672761369,0.973323956868261,0.949742147210502,0.955649320206282,0.927332395686826,0.917393342709798,0.953398968588842,0.974824191279888,0.948570089076418,1.06577590248476
K562_n2,0.95606102128437,0.955878322828172,0.960582808075272,0.937562802594318,0.923814743765415,0.921759386133187,0.933543436557961,0.993788252489266,0.968986937060382,1.02598885539417
HL60_n1,1.31890547263682,1.50398009950249,1.5,1.62089552238806,1.44626865671642,1.62238805970149,1.53781094527363,1.57512437810945,1.21741293532338,0.416915422885572
HL60_n2,1.3456340956341,1.46777546777547,1.54989604989605,1.61174636174636,1.58783783783784,1.69230769230769,1.58887733887734,1.35810810810811,1.15280665280665,0.385654885654886
THP1_n2,1.09945531571515,1.12023401250757,1.13375025216865,1.13052249344362,1.12457131329433,1.1508977203954,1.14161791406092,1.08563647367359,1.05890659673189,0.625882590276377
THP1_n1,1.08750617283951,1.07743209876543,1.08503703703704,1.10627160493827,1.09451851851852,1.15822222222222,1.14913580246914,1.13451851851852,1.03901234567901,0.674271604938272
BULK1_n1,1.0610632183908,1.09985632183908,1.07551085568327,1.10855683269476,1.07894316730524,1.13713282247765,1.10704022988506,1.00079821200511,0.93845785440613,0.447477650063857
BULK1_n2,1.1905746919687,1.22241208741793,1.2638726504182,1.28518751686303,1.27862217825344,1.22043349222052,1.14263872650418,1.06628293911323,0.957730011691699,0.521629642953503
BULK2_n1,1.22946082074147,1.21839649905045,1.22343324250681,1.2208735859962,1.09099166047395,1.16984559491371,1.15902898191727,1.08859714309306,1.094459582198,0.766410701015606
BULK2_n2,1.17133034857691,1.17948512951711,1.16813239526703,1.26135273425008,1.18276303165974,1.16141669331628,1.14630636392709,1.12480012791813,1.07403261912376,0.733130796290374
BULK3_n1,1.03538734799836,1.02418363164367,1.0297399462586,1.01625905178303,1.0161679646582,1.01594024684611,1.04062485767637,1.03051418681969,1.02650635332696,0.944391310288291
BULK3_n2,1.04240644950836,1.04422386877301,1.05908942634792,1.05116734237383,1.04100843468941,1.04194044456871,1.04548208211007,1.06542709352719,1.04953632508505,0.972179505102754
BULK4_n1,1.01180418932994,0.999074181229024,1.04270339081125,1.02048374030783,1.03332947575512,1.0197893762296,0.967249160976739,0.954750607568568,0.966323342205763,0.673996065270223
BULK4_n2,1.33093713240099,1.22467651287413,1.21801071755326,1.17736243628284,1.10978956999085,1.15213697555875,1.08587112795713,1.06208338779245,0.904587635603189,0.728270814272644
BULK5_n1,1.03138823529412,1.03807058823529,1.04428235294118,1.02945882352941,1.04127058823529,1.0336,1.02032941176471,1.03298823529412,1.03289411764706,0.976329411764706
BULK5_n2,1.03418642873914,1.03470298192064,1.03986851373562,1.04752289269782,1.04587931439305,1.03550129138295,1.02704860295844,1.03611176332472,1.04249823902324,1.0027236440479
BULK6_n1,1.03645982270518,1.02993041654752,1.04670670098179,1.03545896482699,1.03893813745115,1.02764274139739,1.02568868553999,1.00853112191402,1.03174149270804,0.863311409779811
BULK6_n2,1.00352750500524,1.0165411383354,1.01906759462294,1.04233006006292,1.03227190389932,1.01987796739441,1.02864906092096,1.03608542282391,1.0301744684908,0.927686147392506
